;;;
№;Дата;Какая территория;Причина вхождения в состав СССР
1;1922;РСФСР;Договор о Создании СССР
2;1922;Украинская ССР;Договор о Создании СССР
3;1922;Белорусская ССР;Договор о Создании СССР
4;1922;ЗСФСЗ;Договор о Создании СССР
5;1924;Узбекская ССР;Национально-территориальное размежевание Центральной Азии
6;1924;Туркменская ССР;Национально-территориальное размежевание Центральной Азии
7;1929;Таджикская ССР;Национально-территориальное размежевание Центральной Азии
8;1936;Казахская ССР;Национально-территориальное размежевание Центральной Азии
9;1936;Киргизская ССР;Национально-территориальное размежевание Центральной Азии
10;1940;Эстонская ССР;Запрос правительства Эстонской ССР на вхождение в состав СССР
11;1940;Латвийская ССР;Запрос правительства Латвийской ССР на вхождение в состав СССР
12;1940;Литовская ССР;Запрос правительства Литовской ССР на вхождение в состав СССР
13;1940;Молдавская ССР;Присоединение Бессарабии
14;1940;Карело-Финская ССР;в результате присоединения территории Финляндии к СССР
